"Road","Home","Road_score","Home_score","Home_w","margin","Date"
"Wisconsin Lutheran","Green Bay",54,110,1,-56,2018-11-06
"Saint Francis (PA)","Buffalo",67,82,1,-15,2018-11-06
"Rider","UCF",70,84,1,-14,2018-11-06
"Rochester (MI)","Eastern Michigan",67,77,1,-10,2018-11-06
"Chicago State","Indiana",55,104,1,-49,2018-11-06
"Kentucky Christian","Morehead State",82,102,1,-20,2018-11-06
"Siena","Providence",67,77,1,-10,2018-11-06
"Wagner","Seton Hall",49,89,1,-40,2018-11-06
"Loyola (MD)","St. John's (NY)",55,76,1,-21,2018-11-06
"Arlington Baptist","Abilene Christian",54,107,1,-53,2018-11-06
"Johnson & Wales","Air Force",65,90,1,-25,2018-11-06
"Cedarville","Akron",50,70,1,-20,2018-11-06
"Mars Hill","Appalachian State",62,125,1,-63,2018-11-06
"Marist","Army",69,73,1,-4,2018-11-06
"Indiana State","Ball State",69,86,1,-17,2018-11-06
"Milwaukee","Boston College",53,73,1,-20,2018-11-06
"Tiffin","Bowling Green State",52,91,1,-39,2018-11-06
"UNC Wilmington","Campbell",93,97,1,-4,2018-11-06
"Concordia (MI)","Central Michigan",67,98,1,-31,2018-11-06
"Columbia International","Charleston Southern",68,100,1,-32,2018-11-06
"Chattanooga","Charlotte",80,69,0,11,2018-11-06
"Citadel","Clemson",80,100,1,-20,2018-11-06
"Ferrum","Coastal Carolina",47,91,1,-44,2018-11-06
"Presbyterian","College of Charleston",73,85,1,-12,2018-11-06
"Newbury","Dartmouth",39,114,1,-75,2018-11-06
"Cleveland State","Davidson",63,83,1,-20,2018-11-06
"Delaware State","East Carolina",56,81,1,-25,2018-11-06
"CCNY","Fordham",58,106,1,-48,2018-11-06
"Bob Jones University","Furman",48,102,1,-54,2018-11-06
"Penn","George Mason",72,71,0,1,2018-11-06
"Stony Brook","George Washington",77,74,0,3,2018-11-06
"ETSU","Georgia State",68,74,1,-6,2018-11-06
"Mid-Atlantic Christian","Hampton",58,110,1,-52,2018-11-06
"Central Connecticut","Hartford",75,68,0,7,2018-11-06
"MIT","Harvard",66,78,1,-12,2018-11-06
"Sacred Heart","Holy Cross",81,93,1,-12,2018-11-06
"Florida Gulf Coast","Illinois State",66,74,1,-8,2018-11-06
"Florida A&M","Jacksonville",65,50,0,15,2018-11-06
"East Mennonite","James Madison",58,86,1,-28,2018-11-06
"Michigan State","Kansas",87,92,1,-5,2018-11-06
"New Rochelle","LIU-Brooklyn",76,109,1,-33,2018-11-06
"Randolph","Longwood",56,84,1,-28,2018-11-06
"Delaware","Maryland",67,73,1,-6,2018-11-06
"UMass-Lowell","UMass",75,83,1,-8,2018-11-06
"Lees-McRae","Middle Tennessee",69,91,1,-22,2018-11-06
"Rivier","New Hampshire",54,108,1,-54,2018-11-06
"Colgate","NJIT",78,81,1,-3,2018-11-06
"UNC Greensboro","North Carolina A&T",74,66,0,8,2018-11-06
"Mount St. Mary's","NC State",55,105,1,-50,2018-11-06
"Wilmington (OH)","Northern Kentucky",38,102,1,-64,2018-11-06
"UIC","Notre Dame",67,84,1,-17,2018-11-06
"Navy","Old Dominion",44,67,1,-23,2018-11-06
"Youngstown State","Pitt",53,69,1,-16,2018-11-06
"Fairfield","Purdue",57,90,1,-33,2018-11-06
"Davis & Elkins","Radford",57,91,1,-34,2018-11-06
"Bryant","Rhode Island",63,97,1,-34,2018-11-06
"East Texas Baptist","Sam Houston State",64,85,1,-21,2018-11-06
"North Alabama","Samford",74,91,1,-17,2018-11-06
"USC Upstate","South Carolina",52,65,1,-13,2018-11-06
"Brevard","South Carolina State",51,99,1,-48,2018-11-06
"Alabama A&M","South Florida",63,80,1,-17,2018-11-06
"Texas Wesleyan","Stephen F. Austin",71,83,1,-12,2018-11-06
"Eastern Washington","Syracuse",34,66,1,-32,2018-11-06
"La Salle","Temple",67,75,1,-8,2018-11-06
"Lenoir-Rhyne","Tennessee",41,86,1,-45,2018-11-06
"Incarnate Word","Texas Tech",37,87,1,-50,2018-11-06
"Morgan State","Villanova",77,100,1,-23,2018-11-06
"Towson","Virginia",42,73,1,-31,2018-11-06
"Gardner-Webb","VCU",57,69,1,-12,2018-11-06
"Washington College","VMI",56,89,1,-33,2018-11-06
"Detroit","Western Michigan",76,89,1,-13,2018-11-06
"UNC","Wofford",78,67,0,11,2018-11-06
"Southern","Alabama",62,82,1,-20,2018-11-06
"Mercer","Alabama-Birmingham",67,75,1,-8,2018-11-06
"Cal State Fullerton","Arizona State",94,102,1,-8,2018-11-06
"Oakland City","Austin Peay",53,114,1,-61,2018-11-06
"Cornell","Binghamton",86,75,0,11,2018-11-06
"Western Illinois","Creighton",67,78,1,-11,2018-11-06
"Maryland-Eastern Shore","Georgetown",53,68,1,-15,2018-11-06
"Alabama State","Iowa State",53,79,1,-26,2018-11-06
"Louisiana-Monroe","Jackson State",75,66,0,9,2018-11-06
