games_names,torvik_names
Alabama-Birmingham,UAB
Albany (NY),Albany
Arkansas-Pine Bluff,Arkansas Pine Bluff
Bethune-Cookman,Bethune Cookman
Bowling Green State,Bowling Green
California Baptist,Cal Baptist
Citadel,The Citadel
ETSU,East Tennessee State
Florida International,FIU
Gardner-Webb,Gardner Webb
Grambling,Grambling State
LIU-Brooklyn,LIU Brooklyn
Louisiana,Louisiana Lafayette
Louisiana-Monroe,Louisiana Monroe
Loyola (IL),Loyola Chicago
Loyola (MD),Loyola MD
Maryland-Eastern Shore,Maryland Eastern Shore
Miami (FL),Miami FL
Miami (OH),Miami OH
Mount St. Mary's,Mount State Mary's
NC State,North Carolina State
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Pitt,Pittsburgh
Prairie View,Prairie View A&M
Purdue-Fort Wayne,Fort Wayne
Saint Francis (PA),State Francis PA
SIU-Edwardsville,SIU Edwardsville
St. Bonaventure,State Bonaventure
St. Francis (NY),State Francis NY
St. John's (NY),State John's
St. Joseph's,Saint Joseph's
St. Peter's,Saint Peter's
Texas A&M-Corpus Christi,Texas A&M Corpus Chris
Texas-Arlington,UT Arlington
Texas-Rio Grande Valley,UT Rio Grande Valley
UC-Davis,UC Davis
UC-Irvine,UC Irvine
UC-Riverside,UC Riverside
UConn,Connecticut
UCSB,UC Santa Barbara
UIC,Illinois Chicago
UMass,Massachusetts
UMass-Lowell,UMass Lowell
UNC,North Carolina
UT-Martin,Tennessee Martin
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama State,Alabama State
Alcorn State,Alcorn State
American,American
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Arkansas State,Arkansas State
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
Ball State,Ball State
Baylor,Baylor
Belmont,Belmont
Binghamton,Binghamton
Boise State,Boise State
Boston College,Boston College
Boston University,Boston University
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
BYU,BYU
Cal Poly,Cal Poly
Cal State Bakersfield,Cal State Bakersfield
Cal State Fullerton,Cal State Fullerton
Cal State Northridge,Cal State Northridge
California,California
