Road,Home,Road_score,Home_score,Home_w,margin,Date
Hillsdale,Abilene Christian,61,101,1,-40,2014-11-14
UMBC,Akron,57,74,1,-17,2014-11-14
Towson,Alabama,54,82,1,-28,2014-11-14
Auburn Montgomery,Alabama State,64,105,1,-41,2014-11-14
Mount St. Mary's,Arizona,55,78,1,-23,2014-11-14
Chicago State,Arizona State,50,86,1,-36,2014-11-14
Air Force,Army,78,84,1,-6,2014-11-14
Milwaukee,Auburn,73,83,1,-10,2014-11-14
McNeese State,Baylor,39,80,1,-41,2014-11-14
San Diego,Boise State,75,81,1,-6,2014-11-14
New Hampshire,Boston College,50,58,1,-8,2014-11-14
Texas-Arlington,Bradley,86,75,0,11,2014-11-14
Long Beach State,BYU,90,95,1,-5,2014-11-14
St. Peter's,Brown,58,70,1,-12,2014-11-14
Marist,Bucknell,72,75,1,-3,2014-11-14
South Dakota State,Buffalo,67,69,1,-2,2014-11-14
High Point,Cal State Bakersfield,100,99,0,1,2014-11-14
Alcorn State,California,57,91,1,-34,2014-11-14
Chapman,UC-Irvine,36,87,1,-51,2014-11-14
Barber-Scotia,Campbell,58,97,1,-39,2014-11-14
Fairfield,Central Connecticut,71,63,0,8,2014-11-14
Alma,Central Michigan,64,106,1,-42,2014-11-14
Hiwassee,Chattanooga,53,110,1,-57,2014-11-14
Saint Francis (PA),Cincinnati,37,52,1,-15,2014-11-14
VMI,Citadel,66,65,0,1,2014-11-14
Florida A&M,Clemson,41,86,1,-45,2014-11-14
Trinity Baptist,Coastal Carolina,36,79,1,-43,2014-11-14
Drexel,Colorado,48,65,1,-17,2014-11-14
Bryant,UConn,53,66,1,-13,2014-11-14
Central Arkansas,Creighton,77,104,1,-27,2014-11-14
Alabama A&M,Dayton,52,76,1,-24,2014-11-14
UIC,DePaul,71,72,1,-1,2014-11-14
Rochester (MI),Detroit,54,77,1,-23,2014-11-14
Presbyterian,Duke,44,113,1,-69,2014-11-14
North Carolina Wesleyan,East Carolina,81,99,1,-18,2014-11-14
Savannah State,Eastern Kentucky,53,76,1,-23,2014-11-14
St. Francis (IL),Eastern Michigan,52,64,1,-12,2014-11-14
Texas Southern,Eastern Washington,62,86,1,-24,2014-11-14
Florida Atlantic,Elon,58,64,1,-6,2014-11-14
William & Mary,Florida,45,68,1,-23,2014-11-14
Florida College,Florida International,42,64,1,-22,2014-11-14
NYIT,Fordham,77,94,1,-17,2014-11-14
College of Charleston,Furman,75,40,0,35,2014-11-14
Cornell,George Mason,68,60,0,8,2014-11-14
Grambling,George Washington,40,92,1,-52,2014-11-14
Tennessee Temple,Georgia State,55,115,1,-60,2014-11-14
Georgia,Georgia Tech,73,80,1,-7,2014-11-14
Sacramento State,Gonzaga,58,104,1,-46,2014-11-14
Sacred Heart,Hartford,71,53,0,18,2014-11-14
MIT,Harvard,52,73,1,-21,2014-11-14
Arkansas-Pine Bluff,Hawaii,57,85,1,-28,2014-11-14
Jacksonville,Hofstra,61,94,1,-33,2014-11-14
Eastern Oregon,Idaho,65,77,1,-12,2014-11-14
Georgia Southern,Illinois,71,80,1,-9,2014-11-14
Texas-Tyler,Incarnate Word,49,89,1,-40,2014-11-14
Mississippi Valley State,Indiana,65,116,1,-51,2014-11-14
Cleveland State,Iona,73,78,1,-5,2014-11-14
Hampton,Iowa,56,90,1,-34,2014-11-14
Oakland,Iowa State,82,93,1,-11,2014-11-14
Manchester,Purdue-Fort Wayne,50,74,1,-24,2014-11-14
Indiana State,IUPUI,79,66,0,13,2014-11-14
Virginia,James Madison,79,51,0,28,2014-11-14
UCSB,Kansas,59,69,1,-10,2014-11-14
Southern Utah,Kansas State,68,98,1,-30,2014-11-14
Grand Canyon,Kentucky,45,85,1,-40,2014-11-14
Villanova,Lehigh,77,66,0,11,2014-11-14
Randolph,Liberty,45,69,1,-24,2014-11-14
Berry,Lipscomb,70,91,1,-21,2014-11-14
Averett,Longwood,53,79,1,-26,2014-11-14
Louisiana College,Louisiana,57,85,1,-28,2014-11-14
Minnesota,Louisville,68,81,1,-13,2014-11-14
Rockhurst,Loyola (IL),58,71,1,-13,2014-11-14
Southeast Missouri State,Loyola Marymount,66,76,1,-10,2014-11-14
UT-Martin,Marquette,63,79,1,-16,2014-11-14
Jacksonville State,Marshall,55,74,1,-19,2014-11-14
Wagner,Maryland,48,82,1,-34,2014-11-14
Siena,UMass,87,95,1,-8,2014-11-14
Piedmont,Mercer,48,88,1,-40,2014-11-14
Howard,Miami (FL),49,84,1,-35,2014-11-14
Ohio Valley,Middle Tennessee,60,77,1,-17,2014-11-14
Charleston Southern,Ole Miss,66,65,0,1,2014-11-14
Western Carolina,Mississippi State,56,66,1,-10,2014-11-14
UMKC,Missouri,69,61,0,8,2014-11-14
Eastern Illinois,Missouri State,53,64,1,-11,2014-11-14
Houston,Murray State,77,74,0,3,2014-11-14
Michigan State,Navy,64,59,0,5,2014-11-14
Morehead State,UNLV,59,60,1,-1,2014-11-14
Idaho State,New Mexico,55,79,1,-24,2014-11-14
Pfeiffer,Norfolk State,43,81,1,-38,2014-11-14
North Carolina Central,UNC,60,76,1,-16,2014-11-14
Greensboro,North Carolina A&T,61,91,1,-30,2014-11-14
