torvik_names
Albany
Arkansas Pine Bluff
Bethune Cookman
Bowling Green
Cal Baptist
Connecticut
East Tennessee State
FIU
Fort Wayne
Gardner Webb
Grambling State
Illinois Chicago
LIU Brooklyn
Louisiana Lafayette
Louisiana Monroe
Loyola Chicago
Loyola MD
Maryland Eastern Shore
Massachusetts
Miami FL
Miami OH
Mississippi
Mount State Mary's
Nebraska Omaha
North Carolina
North Carolina State
Pittsburgh
Prairie View A&M
Saint Joseph's
Saint Peter's
SIU Edwardsville
State Bonaventure
State Francis NY
State Francis PA
State John's
Tennessee Martin
Texas A&M Corpus Chris
The Citadel
UAB
UC Davis
UC Irvine
UC Riverside
UC Santa Barbara
UMass Lowell
UT Arlington
UT Rio Grande Valley
